,stop_code,stop_name,stop_lat,stop_lon,stop_change
3165,40818,Eastbound Chalmers at Gateway,49.90915841233046,-97.09645624559286,Unchanged
3166,40823,Westbound Dugald at Guy Savoie,49.88609198690981,-97.03173594789516,Unchanged
3167,40824,Eastbound Dugald at Guy Savoie,49.8857967591032,-97.0339476115892,Unchanged
3168,40825,Westbound Chalmers at Elmwood School,49.91038166744709,-97.09973707925096,Removed
3169,40826,Southbound Stadacona at Gordon,49.910089707192746,-97.10717258511566,Unchanged
3170,40827,Southbound Stadacona at Tweed,49.90931160855046,-97.10909732778026,Unchanged
3171,40828,Southbound Stadacona at Talbot,49.90798740099163,-97.1111826246523,Unchanged
3172,40829,Northbound Gateway at Nottingham,49.91143369921239,-97.09314902285716,Removed
3173,40830,Northbound Gateway at Dallenlea,49.9128522846053,-97.09135187089144,Removed
3174,40831,Southbound Gateway at Munroe,49.914513088714294,-97.08951717894946,Unchanged
3175,40832,Southbound Gateway at Dallenlea,49.91280362770848,-97.09167417187828,Removed
3176,40833,Northbound Molson at Grassie,49.92215501573635,-97.05364595889584,Removed
3177,40834,Westbound Devonshire at Dawnville,49.909279639482754,-97.02687817302233,Unchanged
3178,40835,Southbound Gateway at Nottingham,49.91134077888658,-97.09351484545434,Removed
3179,40836,Southbound Gateway at Chalmers,49.90934100551649,-97.09607298562676,Unchanged
3180,40837,Southbound Redonda at Pandora,49.89371779480315,-96.97890365167058,Unchanged
3181,40838,Eastbound Pandora at Redonda,49.89329546087901,-96.97429849359968,Unchanged
3182,40839,Northbound Ravenhurst at Pandora,49.89367278461224,-96.9681142613446,Removed
3183,40844,Southbound Ravenhurst at Pandora,49.89358876178818,-96.9684519715849,Removed
3184,40845,Westbound Pandora at Redonda,49.89346431772493,-96.9746952231067,Unchanged
3185,40846,Northbound Redonda at Pandora,49.89398429392159,-96.97871150093034,Unchanged
3186,40847,Eastbound Kildare at Redonda,49.900730366310654,-96.97920942687672,Removed
3187,40848,Eastbound Grassie at Lagimodiere,49.92237283036325,-97.04948533738542,Unchanged
3188,40849,Westbound Grassie at Lagimodiere,49.92249969389374,-97.050608742666,New
3189,40851,Northbound Gateway at Bonner,49.946652395467375,-97.0485325677578,New
3190,40852,Eastbound Sutherland at Argyle,49.9057192067163,-97.12770565239474,Removed
3191,40853,Eastbound Sutherland at Gladstone,49.90501602737451,-97.1231647341613,Unchanged
3192,40854,Southbound Gateway at Bonner,49.94687688334947,-97.04850955514296,New
3193,40856,Southbound Gateway at Headmaster,49.94843597102628,-97.0465507101232,Unchanged
3194,40857,Southbound Raleigh at Knowles,49.94942809671488,-97.04617600235136,Removed
3195,40858,Northbound Raleigh at Knowles,49.94952086187624,-97.04580980233676,Unchanged
3196,40860,Westbound Headmaster at Sunkist,49.945911380628736,-97.0392790198922,Unchanged
3197,40861,Eastbound Headmaster at Mitchelson,49.946010703832414,-97.03983255537746,Unchanged
3198,40862,Eastbound Headmaster at Vintage Hills,49.94719199830131,-97.04372949235712,Unchanged
3199,40863,Westbound Headmaster at Tamarisk,49.9472949641756,-97.04290288494715,Unchanged
3200,40864,Westbound Whellams at Henderson,49.94643613773144,-97.08623318056128,Unchanged
3201,40865,Eastbound Whellams at Henderson,49.94619758562215,-97.08594991222188,Unchanged
3202,40868,Eastbound Concordia at Reg Wyatt West,49.91288854128074,-97.04981232431084,New
3203,40869,Westbound Concordia at Reg Wyatt West,49.91314593788872,-97.04960692428112,New
3204,40870,Eastbound Concordia at Grantsmuir,49.91611777886125,-97.0428839148101,Unchanged
3205,40871,Westbound Concordia at Grantsmuir,49.91638415131768,-97.04267810001429,Unchanged
3206,40872,Eastbound Edmund Gale at Ravenhurst,49.89522609311792,-96.96795153959364,Unchanged
3207,40873,Southbound Ravenhurst at Edmund Gale,49.89475170431447,-96.96859807281837,Unchanged
3208,40874,Eastbound Edmund Gale at Desrosiers,49.895613583369986,-96.96389707144203,Unchanged
3209,40875,Westbound Edmund Gale at Chadwick South,49.89571539477263,-96.9640598835777,Unchanged
3210,40876,Northbound Edmund Gale at Chadwick,49.89893754934701,-96.9631444035794,Unchanged
3211,40877,Southbound Edmund Gale at Chadwick,49.89842757935436,-96.96278988947184,Unchanged
3212,40879,Westbound Chief Peguis at Henderson,49.94834112709182,-97.08665950563338,Removed
3213,40880,Westbound Whellams at Whellams Loop,49.94889716912712,-97.09364927993822,Unchanged
3214,40881,Eastbound Concordia at Peguis,49.9139218567442,-97.04761149564293,Unchanged
3215,40882,Westbound Concordia at Peguis,49.91386644629778,-97.04805949138988,Unchanged
3216,40883,Westbound Concordia at Whittington,49.9181719233817,-97.0404185057128,Unchanged
3217,40884,Eastbound Concordia at Whittington,49.91786724315149,-97.0404865829429,Unchanged
3218,40887,Eastbound Concordia at Pinetop,49.91504766019828,-97.04503071440465,Unchanged
3219,40888,Westbound Concordia at Pinetop,49.91507269030417,-97.04544761055216,Unchanged
3220,40889,Northbound Peguis at Regent,49.89745519113732,-97.05315007814184,Unchanged
3221,40890,Northbound Peguis at Cal Gardner,49.90069213999636,-97.05040166468729,Unchanged
3222,40891,Northbound Peguis at Ravelston,49.904446621232985,-97.04740914554816,Unchanged
3223,40892,Northbound Peguis at Prairie Crocus,49.90883300026791,-97.04721807521372,Removed
3224,40893,Southbound Peguis at Prairie Crocus,49.907998905434006,-97.04736318926535,Unchanged
3225,40894,Southbound Peguis at Almey,49.900156935347816,-97.05120309425564,Unchanged
3226,40895,Southbound Peguis at Regent,49.89746057409058,-97.05347014094896,Unchanged
3227,40896,Northbound Peguis at Prairie Crocus North,49.91150412932823,-97.04719375624622,Unchanged
3228,40897,Southbound Peguis at Prairie Crocus North,49.91117482536758,-97.0474020662476,Unchanged
3229,40900,Westbound Springfield at Spring Valley West,49.93124749732272,-97.04928033046382,New
3230,40901,Southbound De Vries at Springfield,49.931651325084275,-97.04495808977836,Unchanged
3231,40902,Northbound De Vries at Springfield,49.93164779742427,-97.04474920657314,Unchanged
3232,40903,Southbound Peguis at El Tassi,49.90218775287386,-97.04947792384706,Unchanged
3233,40904,Northbound Peguis at Ivybridge,49.90271630185055,-97.04881597642212,Unchanged
3234,40905,Southbound De Vries at Bonner,49.941945278367776,-97.03613673856272,Removed
3235,40906,Northbound De Vries at Bonner,49.94161363602747,-97.03620597715756,Removed
3236,40907,Northbound Henderson at Johnson N.,49.91462339205393,-97.11435013759971,Removed
3237,40908,Westbound Transcona at Plessis,49.90084782958396,-97.02667908391996,Unchanged
3238,40909,Westbound Transcona at Bienvenu,49.90030410028047,-97.02908262420858,Unchanged
3239,40910,Westbound Transcona at Veteran's Way,49.903296263001096,-97.04320789433352,Unchanged
3240,40911,Eastbound Transcona at Peguis,49.90434334662174,-97.04661946607564,Unchanged
3241,40912,Eastbound Transcona at Chelston,49.902981461771745,-97.04267748739832,Unchanged
3242,40913,Eastbound Transcona at Bienvenu,49.900119125222616,-97.02931297835389,Unchanged
3243,40914,Eastbound Transcona at Plessis,49.90072955079405,-97.02660035302728,Unchanged
3244,41002,Westbound Munroe at Panet,49.90751951452554,-97.06703508086638,New
3245,41003,Eastbound Edison at Henderson,49.94114746150858,-97.0889794366075,New
3246,41004,Northbound Plessis at Pandora,49.89384280539874,-97.02522433223108,New
3247,41005,Southbound Ravenhurst at John Duncan,49.89824492538371,-96.96928688892628,New
3248,41006,Southbound Ravenhurst at Merkel Manza,49.89139286813876,-96.96839102871436,New
3249,41007,Northbound Ravenhurst at Renshaw,49.88986745135628,-96.9680930851844,New
3250,41008,Northbound Ravenhurst at Edmund Gale,49.89542535701556,-96.96854193193494,New
3251,41009,Northbound Ravenhurst at John Duncan,49.89827453049174,-96.96892358151784,New
3252,41010,Southbound Plessis at Pandora,49.8938832714296,-97.02548724015904,New
3253,41011,Eastbound Kimberly at London,49.918602470149395,-97.07736073652546,New
3254,41012,Westbound Tu-Pelo at Budden,49.92704828647003,-97.06922181479663,New
3255,41013,Eastbound Tu-Pelo at Budden,49.92674932558629,-97.06909442507596,New
3256,41014,Westbound Edmund Gale at Ravenhurst,49.89514265447131,-96.96934750999075,New
3257,41015,Westbound Edmund Gale at Audette,49.8959241890704,-96.97287946681894,New
3258,41016,Northbound Audette at George Marshall,49.8986640261476,-96.9731824028144,New
3259,41017,Eastbound Audette at George Marshall,49.8985858096704,-96.97333886264008,New
3260,41018,Eastbound Edmund Gale at Audette,49.89576190730578,-96.97285841827312,New
3261,41019,Northbound Alex Taylor at Kildare,49.90068751458073,-96.96393412745508,New
3262,41020,Eastbound Transcona at Edward Schreyer,49.90141817688235,-97.03800579899163,New
3263,41021,Westbound Transcona at Edward Schreyer,49.90165707824867,-97.03830248810692,New
3264,41024,Westbound El Tassi at Peguis,49.902962837087266,-97.05010122020164,New
3265,41026,Westbound El Tassi at Art Miki,49.9048007249301,-97.05722752834944,New
