,transit_commuters,area,loss_total,gain_total,stop_change,change_per_km
0,0-9%,385.80600000000004,1154,343,-811,-2.1020927616470453
1,10-19%,59.447900000000004,422,85,-337,-5.668829344686691
2,20-29%,12.590300000000003,87,15,-72,-5.718688196468709
3,30+%,4.0731,61,13,-48,-11.78463578110039
