,CTUID,DGUID,CTNAME,LANDAREA,PRUID,pop_density,transit_users,pop_change,poverty_rate,low_income
62,6020132.0,2021S05076020132.00,132.0,1.0723,46,2774.4,6.8,11.0,7.1,8.1
63,6020133.0,2021S05076020133.00,133.0,1.3522,46,2669.0,8.0,-1.3,6.9,11.8
64,6020134.0,2021S05076020134.00,134.0,2.074,46,2580.0,8.5,3.5,9.6,11.0
65,6020502.0,2021S05076020502.00,502.0,2.2276,46,1022.2,11.5,-1.0,6.8,8.0
66,6020503.0,2021S05076020503.00,503.0,2.2362,46,1618.4,5.0,-4.4,5.5,7.5
67,6020530.0,2021S05076020530.00,530.0,0.7271,46,2702.5,19.4,-0.9,7.6,10.5
68,6020531.0,2021S05076020531.00,531.0,1.596,46,3877.2,11.2,9.5,9.2,11.4
69,6020532.0,2021S05076020532.00,532.0,1.0197,46,982.6,6.5,8.6,6.3,10.0
70,6020533.0,2021S05076020533.00,533.0,1.7176,46,2391.1,5.4,-4.8,4.4,6.2
71,6020534.0,2021S05076020534.00,534.0,1.0167,46,3782.8,18.2,0.3,10.1,9.8
72,6020535.0,2021S05076020535.00,535.0,1.4025,46,2921.9,5.4,2.1,3.7,6.2
73,6020536.0,2021S05076020536.00,536.0,4.2538,46,1735.4,9.0,2.9,8.7,12.2
74,6020538.0,2021S05076020538.00,538.0,1.54,46,1367.5,5.2,-2.0,6.5,6.4
75,6020541.0,2021S05076020541.00,541.0,13.0662,46,18.2,0.0,4.4,,
76,6020542.0,2021S05076020542.00,542.0,3.9925,46,780.0,9.2,12.4,7.4,13.9
77,6020550.0,2021S05076020550.00,550.0,0.8771,46,3036.1,6.8,4.7,6.6,8.5
78,6020551.0,2021S05076020551.00,551.0,1.6952,46,3645.6,8.6,4.3,8.2,11.6
79,6020553.0,2021S05076020553.00,553.0,1.3196,46,3552.6,12.1,2.7,11.7,15.9
80,6020500.08,2021S05076020500.08,500.08,1.6696,46,2697.7,3.6,-3.7,4.6,6.4
81,6020500.09,2021S05076020500.09,500.09,1.5127,46,1847.7,3.5,-7.3,5.2,5.4
82,6020510.03,2021S05076020510.03,510.03,8.5022,46,901.3,3.4,32.2,10.9,14.1
83,6020110.06,2021S05076020110.06,110.06,2.5403,46,2631.2,4.6,-3.1,6.2,5.8
84,6020510.06,2021S05076020510.06,510.06,2.2228,46,2471.7,2.4,-5.9,6.3,6.2
85,6020004.01,2021S05076020004.01,4.01,1.1041,46,4124.6,10.1,-4.0,9.4,12.2
86,6020004.02,2021S05076020004.02,4.02,2.2668,46,1565.6,12.2,-1.3,14.7,15.9
87,6020102.01,2021S05076020102.01,102.01,2.064,46,2588.2,9.7,5.2,9.5,14.7
88,6020102.02,2021S05076020102.02,102.02,1.102,46,3331.2,11.0,-0.6,11.2,15.7
89,6020102.03,2021S05076020102.03,102.03,0.6736,46,5115.8,16.7,7.4,15.4,22.1
90,6020112.01,2021S05076020112.01,112.01,1.2085,46,2673.6,7.2,1.1,6.6,10.2
91,6020112.02,2021S05076020112.02,112.02,2.2699,46,2053.0,9.0,-0.3,8.6,11.7
92,6020120.01,2021S05076020120.01,120.01,12.8363,46,403.7,4.4,3.3,5.7,9.5
93,6020141.01,2021S05076020141.01,141.01,0.8835,46,4323.7,8.4,8.9,7.6,11.3
94,6020141.02,2021S05076020141.02,141.02,1.0946,46,3773.1,12.1,-0.4,10.0,16.5
95,6020500.01,2021S05076020500.01,500.01,5.2159,46,1602.4,20.8,11.4,25.6,27.9
96,6020500.02,2021S05076020500.02,500.02,27.5058,46,233.4,7.7,0.2,9.1,9.5
97,6020537.01,2021S05076020537.01,537.01,1.9271,46,1628.9,6.4,0.6,5.8,10.5
98,6020537.02,2021S05076020537.02,537.02,1.0884,46,2877.6,3.2,-1.0,3.3,4.6
99,6020537.03,2021S05076020537.03,537.03,1.0715,46,2411.6,7.6,0.1,3.0,5.4
100,6020540.01,2021S05076020540.01,540.01,0.8015,46,2499.1,3.0,-4.2,4.6,4.3
101,6020540.02,2021S05076020540.02,540.02,1.1095,46,3080.7,6.4,-1.1,6.6,10.6
102,6020540.03,2021S05076020540.03,540.03,1.6777,46,3467.2,6.3,-0.4,8.7,14.5
103,6020050.01,2021S05076020050.01,50.01,3.8121,46,784.6,12.9,-5.0,10.0,26.4
104,6020050.02,2021S05076020050.02,50.02,2.3675,46,2183.3,9.5,10.2,8.0,8.9
105,6020051.01,2021S05076020051.01,51.01,8.9536,46,1091.9,6.0,78.6,6.2,6.7
106,6020051.02,2021S05076020051.02,51.02,2.5955,46,2432.3,6.0,-3.9,2.1,5.0
107,6020100.01,2021S05076020100.01,100.01,2.3405,46,3047.6,6.8,1.7,4.5,4.7
108,6020100.02,2021S05076020100.02,100.02,32.1638,46,56.0,0.0,1.4,4.5,4.4
109,6020101.01,2021S05076020101.01,101.01,3.0609,46,1892.9,8.1,-1.9,8.6,12.1
110,6020101.02,2021S05076020101.02,101.02,2.3149,46,1927.1,4.6,-2.2,4.4,7.5
111,6020102.04,2021S05076020102.04,102.04,1.4183,46,3805.3,18.3,3.3,18.4,30.0
112,6020110.01,2021S05076020110.01,110.01,15.3697,46,199.7,5.4,8.7,8.6,8.2
113,6020110.02,2021S05076020110.02,110.02,3.0764,46,1834.6,4.7,3.0,4.3,5.9
114,6020120.03,2021S05076020120.03,120.03,2.4454,46,1473.4,9.6,2.6,6.6,12.6
115,6020130.01,2021S05076020130.01,130.01,1.6196,46,3085.9,6.9,2.4,10.6,11.2
116,6020130.02,2021S05076020130.02,130.02,1.1402,46,5541.1,15.3,1.3,12.2,20.1
117,6020142.01,2021S05076020142.01,142.01,1.6877,46,2759.4,8.9,4.3,9.0,15.8
118,6020142.02,2021S05076020142.02,142.02,2.1212,46,2269.0,3.1,-1.7,2.1,3.1
119,6020501.01,2021S05076020501.01,501.01,1.1318,46,4206.6,36.9,11.3,34.0,28.8
120,6020501.02,2021S05076020501.02,501.02,5.5831,46,1129.1,9.9,6.7,10.5,11.3
121,6020522.01,2021S05076020522.01,522.01,2.7576,46,1764.2,2.8,-1.7,8.1,9.4
122,6020522.02,2021S05076020522.02,522.02,2.7343,46,1744.5,3.0,-3.9,2.9,5.1
123,6020560.01,2021S05076020560.01,560.01,1.3038,46,4159.4,7.0,-1.3,7.5,6.4
124,6020140.01,2021S05076020140.01,140.01,1.5846,46,3714.5,8.9,-1.8,7.8,11.8
125,6020140.02,2021S05076020140.02,140.02,3.7078,46,1988.8,3.9,0.7,3.4,4.9
126,6020142.03,2021S05076020142.03,142.03,0.7828,46,5493.1,9.0,6.8,9.8,15.7
