CTUID,DGUID,CTNAME,LANDAREA,PRUID
"6020537.03",2021S05076020537.03,"0537.03",1.0715,"46"
"6020540.01",2021S05076020540.01,"0540.01",0.8015,"46"
"6020540.02",2021S05076020540.02,"0540.02",1.1095,"46"
"6020540.03",2021S05076020540.03,"0540.03",1.6777,"46"
"6020050.01",2021S05076020050.01,"0050.01",3.8121,"46"
"6020050.02",2021S05076020050.02,"0050.02",2.3675,"46"
"6020051.01",2021S05076020051.01,"0051.01",8.9536,"46"
"6020051.02",2021S05076020051.02,"0051.02",2.5955,"46"
"6020100.01",2021S05076020100.01,"0100.01",2.3405,"46"
"6020100.02",2021S05076020100.02,"0100.02",32.1638,"46"
"6020101.01",2021S05076020101.01,"0101.01",3.0609,"46"
"6020101.02",2021S05076020101.02,"0101.02",2.3149,"46"
"6020102.04",2021S05076020102.04,"0102.04",1.4183,"46"
"6020110.01",2021S05076020110.01,"0110.01",15.3697,"46"
"6020110.02",2021S05076020110.02,"0110.02",3.0764,"46"
"6020120.03",2021S05076020120.03,"0120.03",2.4454,"46"
"6020130.01",2021S05076020130.01,"0130.01",1.6196,"46"
"6020130.02",2021S05076020130.02,"0130.02",1.1402,"46"
"6020142.01",2021S05076020142.01,"0142.01",1.6877,"46"
"6020142.02",2021S05076020142.02,"0142.02",2.1212,"46"
"6020501.01",2021S05076020501.01,"0501.01",1.1318,"46"
"6020501.02",2021S05076020501.02,"0501.02",5.5831,"46"
"6020522.01",2021S05076020522.01,"0522.01",2.7576,"46"
"6020522.02",2021S05076020522.02,"0522.02",2.7343,"46"
"6020560.01",2021S05076020560.01,"0560.01",1.3038,"46"
"6020140.01",2021S05076020140.01,"0140.01",1.5846,"46"
"6020140.02",2021S05076020140.02,"0140.02",3.7078,"46"
"6020142.03",2021S05076020142.03,"0142.03",0.7828,"46"
"6020142.04",2021S05076020142.04,"0142.04",0.816,"46"
"6020500.04",2021S05076020500.04,"0500.04",2.2962,"46"
"6020520.02",2021S05076020520.02,"0520.02",0.9788,"46"
"6020520.03",2021S05076020520.03,"0520.03",3.1703,"46"
"6020539.01",2021S05076020539.01,"0539.01",18.9071,"46"
"6020539.02",2021S05076020539.02,"0539.02",1.2553,"46"
"6020540.04",2021S05076020540.04,"0540.04",0.7602,"46"
"6020552.01",2021S05076020552.01,"0552.01",2.0734,"46"
"6020552.02",2021S05076020552.02,"0552.02",1.0117,"46"
"6020560.04",2021S05076020560.04,"0560.04",1.4284,"46"
"6020510.02",2021S05076020510.02,"0510.02",7.3219,"46"
"6020122.01",2021S05076020122.01,"0122.01",1.5883,"46"
"6020122.02",2021S05076020122.02,"0122.02",1.6364,"46"
"6020501.03",2021S05076020501.03,"0501.03",2.2267,"46"
"6020560.05",2021S05076020560.05,"0560.05",0.8426,"46"
