DGUID,Location,"Population percentage change, 2016 to 2021"
2021S05076020112.02,6020112.02 [CT] (Man.),	-0.3
2021S05076020112.01,6020112.01 [CT] (Man.),1.1
2021S05076020111.00,6020111.00 [CT] (Man.),	-0.7
2021S05076020110.09,6020110.09 [CT] (Man.),37.9
2021S05076020110.08,6020110.08 [CT] (Man.),54.7
2021S05076020110.06,6020110.06 [CT] (Man.),	-3.1
2021S05076020110.04,6020110.04 [CT] (Man.),	-1.6
2021S05076020110.02,6020110.02 [CT] (Man.),3.0
2021S05076020110.01,6020110.01 [CT] (Man.),8.7
2021S05076020105.00,6020105.00 [CT] (Man.),6.3
2021S05076020104.00,6020104.00 [CT] (Man.),5.9
2021S05076020103.00,6020103.00 [CT] (Man.),	-1.1
2021S05076020102.04,6020102.04 [CT] (Man.),3.3
2021S05076020102.03,6020102.03 [CT] (Man.),7.4
2021S05076020102.02,6020102.02 [CT] (Man.),	-0.6
2021S05076020102.01,6020102.01 [CT] (Man.),5.2
2021S05076020101.02,6020101.02 [CT] (Man.),	-2.2
2021S05076020101.01,6020101.01 [CT] (Man.),	-1.9
2021S05076020100.10,6020100.10 [CT] (Man.),	-2.7
2021S05076020100.09,6020100.09 [CT] (Man.),23.8
2021S05076020100.07,6020100.07 [CT] (Man.),0.6
2021S05076020100.06,6020100.06 [CT] (Man.),7.3
2021S05076020100.05,6020100.05 [CT] (Man.),	-1.7
2021S05076020100.02,6020100.02 [CT] (Man.),1.4
2021S05076020100.01,6020100.01 [CT] (Man.),1.7
2021S05076020052.00,6020052.00 [CT] (Man.),…
2021S05076020051.03,6020051.03 [CT] (Man.),	-3.4
2021S05076020051.02,6020051.02 [CT] (Man.),	-3.9
2021S05076020051.01,6020051.01 [CT] (Man.),78.6
2021S05076020050.02,6020050.02 [CT] (Man.),10.2
2021S05076020050.01,6020050.01 [CT] (Man.),	-5.0
2021S05076020049.00,6020049.00 [CT] (Man.),3.8
2021S05076020048.00,6020048.00 [CT] (Man.),1.8
2021S05076020047.00,6020047.00 [CT] (Man.),0.4
2021S05076020046.00,6020046.00 [CT] (Man.),	-2.8
2021S05076020045.00,6020045.00 [CT] (Man.),2.6
2021S05076020044.00,6020044.00 [CT] (Man.),	-0.7
2021S05076020043.00,6020043.00 [CT] (Man.),10.5
2021S05076020042.00,6020042.00 [CT] (Man.),	-1.8
2021S05076020041.00,6020041.00 [CT] (Man.),0.7
2021S05076020040.00,6020040.00 [CT] (Man.),1.3
2021S05076020039.00,6020039.00 [CT] (Man.),2.8
2021S05076020038.00,6020038.00 [CT] (Man.),3.1
2021S05076020037.00,6020037.00 [CT] (Man.),2.6
2021S05076020036.00,6020036.00 [CT] (Man.),9.6
2021S05076020035.00,6020035.00 [CT] (Man.),2.8
2021S05076020034.00,6020034.00 [CT] (Man.),	-3.2
2021S05076020033.00,6020033.00 [CT] (Man.),2.8
2021S05076020032.00,6020032.00 [CT] (Man.),	-3.3
2021S05076020031.00,6020031.00 [CT] (Man.),	-0.5
2021S05076020030.00,6020030.00 [CT] (Man.),	-1.0
2021S05076020029.00,6020029.00 [CT] (Man.),	-4.8
2021S05076020028.00,6020028.00 [CT] (Man.),	-9.3
2021S05076020027.00,6020027.00 [CT] (Man.),2.8
2021S05076020026.00,6020026.00 [CT] (Man.),3.8
2021S05076020025.00,6020025.00 [CT] (Man.),8.7
2021S05076020024.00,6020024.00 [CT] (Man.),22.0
2021S05076020023.00,6020023.00 [CT] (Man.),	-2.4
2021S05076020022.00,6020022.00 [CT] (Man.),	-6.7
2021S05076020021.00,6020021.00 [CT] (Man.),	-4.5
2021S05076020020.00,6020020.00 [CT] (Man.),6.0
2021S05076020019.00,6020019.00 [CT] (Man.),	-1.6
2021S05076020018.00,6020018.00 [CT] (Man.),	-2.1
2021S05076020017.00,6020017.00 [CT] (Man.),2.4
2021S05076020016.00,6020016.00 [CT] (Man.),	-8.1
2021S05076020015.00,6020015.00 [CT] (Man.),9.0
2021S05076020014.00,6020014.00 [CT] (Man.),11.2
2021S05076020013.00,6020013.00 [CT] (Man.),39.0
2021S05076020012.00,6020012.00 [CT] (Man.),4.5
2021S05076020011.00,6020011.00 [CT] (Man.),1.8
2021S05076020010.00,6020010.00 [CT] (Man.),	-0.3
2021S05076020009.00,6020009.00 [CT] (Man.),	-2.7
2021S05076020008.00,6020008.00 [CT] (Man.),	-4.2
2021S05076020007.00,6020007.00 [CT] (Man.),6.5
2021S05076020006.00,6020006.00 [CT] (Man.),	-2.9
2021S05076020005.00,6020005.00 [CT] (Man.),	-4.4
2021S05076020004.02,6020004.02 [CT] (Man.),	-1.3
2021S05076020004.01,6020004.01 [CT] (Man.),	-4.0
2021S05076020003.00,6020003.00 [CT] (Man.),	-0.2
2021S05076020002.00,6020002.00 [CT] (Man.),5.8
2021S05076020001.00,6020001.00 [CT] (Man.),	-1.5
