,stop_id,stop_code,stop_name,stop_lat,stop_lon,stop_url,is_freq
4593,60694,60694,Southbound Dale at Westgrove North,49.86079282127527,-97.31468558498896,http://www.winnipegtransit.com/stops/60694,True
4594,60695,60695,Southbound Dale at Honeybourne,49.85920791503706,-97.31579818087609,http://www.winnipegtransit.com/stops/60695,True
4595,60696,60696,Northbound Dale at Hammond,49.85985166616855,-97.3149131277761,http://www.winnipegtransit.com/stops/60696,True
4596,60697,60697,Southbound Dale at Kersey,49.858085451730986,-97.3177850997537,http://www.winnipegtransit.com/stops/60697,True
4597,60698,60698,Northbound Dale at Cullen,49.85843192946712,-97.3168686823916,http://www.winnipegtransit.com/stops/60698,True
4598,60706,60706,Northbound Kenaston at Wal-Mart,49.82284311793794,-97.20056410509652,http://www.winnipegtransit.com/stops/60706,False
4599,60707,60707,Northbound Kenaston at Safeway,49.82477977817788,-97.20189656055436,http://www.winnipegtransit.com/stops/60707,False
4600,60709,60709,Southbound Kenaston at Wal-Mart,49.8222423501644,-97.19952973825876,http://www.winnipegtransit.com/stops/60709,False
4601,60710,60710,Northbound Lindenwood at Lindenwood West,49.82757783183867,-97.1967314223576,http://www.winnipegtransit.com/stops/60710,False
4602,60711,60711,Southbound Lindenwood at Lindenwood West,49.82759288414151,-97.19712020013992,http://www.winnipegtransit.com/stops/60711,False
4603,60712,60712,Northbound Henlow at Scurfield South,49.81532014073985,-97.19170995109378,http://www.winnipegtransit.com/stops/60712,False
4604,60713,60713,Northbound Lindenwood at Lindenshore,49.82950650676603,-97.19870379813013,http://www.winnipegtransit.com/stops/60713,False
4605,60714,60714,Southbound Lindenwood at Lindenshore,49.82931110901674,-97.19886401646067,http://www.winnipegtransit.com/stops/60714,False
4606,60715,60715,Westbound Scurfield at Fleetwood East,49.80955770954717,-97.20870169325656,http://www.winnipegtransit.com/stops/60715,False
4607,60717,60717,Westbound Scurfield at Columbia East,49.81455586717518,-97.20038496939344,http://www.winnipegtransit.com/stops/60717,False
4608,60718,60718,Southbound Pembina at Royse,49.83453938752394,-97.15052396938938,http://www.winnipegtransit.com/stops/60718,True
4609,60719,60719,Eastbound Scurfield at Columbia East,49.814308470881926,-97.20067216848854,http://www.winnipegtransit.com/stops/60719,False
4610,60720,60720,Northbound Tuxedo at Girton,49.867662720758766,-97.21433239306172,http://www.winnipegtransit.com/stops/60720,False
4611,60721,60721,Westbound Abinojii Mikanah Ramp WB to Pembina at Pembina,49.82113152274264,-97.15245341454914,http://www.winnipegtransit.com/stops/60721,False
4612,60727,60727,Eastbound Scurfield at Dovercourt East,49.818151182253274,-97.18753106670114,http://www.winnipegtransit.com/stops/60727,False
4613,60728,60728,Westbound Wilkes at Waverley West,49.8470561727054,-97.18204051938626,http://www.winnipegtransit.com/stops/60728,False
4614,60729,60729,Eastbound Wilkes at Waverley West,49.84675274063673,-97.18162067970856,http://www.winnipegtransit.com/stops/60729,False
4615,60730,60730,Northbound Waverley at Wilkes North,49.84779085445502,-97.1789943270715,http://www.winnipegtransit.com/stops/60730,False
4616,60731,60731,Eastbound Victor Lewis at Sterling Lyon,49.84523620854911,-97.18586449344414,http://www.winnipegtransit.com/stops/60731,False
4617,60732,60732,Eastbound Victor Lewis at Avon Gate,49.84372787361682,-97.18375106498782,http://www.winnipegtransit.com/stops/60732,False
4618,60733,60733,Westbound Victor Lewis at Avon Gate,49.84395065434988,-97.1836175291423,http://www.winnipegtransit.com/stops/60733,False
4619,60734,60734,Westbound Victor Lewis at Sterling Lyon,49.84538554805778,-97.18563634228414,http://www.winnipegtransit.com/stops/60734,False
